File name,Package name,File size,Package size,File size in package (%),File size in system (%)
bin/busybox,busybox,821704,830996,98.9,2.1
etc/inittab,busybox,1339,830996,0.2,0.0
usr/share/udhcpc/default.script,busybox,3133,830996,0.4,0.0
etc/init.d/S01syslogd,busybox,1012,830996,0.1,0.0
etc/init.d/S02klogd,busybox,1004,830996,0.1,0.0
etc/init.d/S02sysctl,busybox,2804,830996,0.3,0.0
lib/libgcc_s.so.1,gcc-final,84144,2278788,3.7,0.2
lib/libgcc_s.so,gcc-final,132,2278788,0.0,0.0
lib/libatomic.so.1.2.0,gcc-final,38696,2278788,1.7,0.1
usr/lib/libstdc++.so.6.0.30,gcc-final,2153328,2278788,94.5,5.4
usr/lib/libstdc++.so.6.0.30-gdb.py,gcc-final,2488,2278788,0.1,0.0
lib/ld-linux-aarch64.so.1,glibc,194328,2490072,7.8,0.5
lib/libanl.so.1,glibc,5848,2490072,0.2,0.0
lib/libc.so.6,glibc,1605624,2490072,64.5,4.1
lib/libcrypt.so.1,glibc,34592,2490072,1.4,0.1
lib/libdl.so.2,glibc,5848,2490072,0.2,0.0
lib/libm.so.6,glibc,530216,2490072,21.3,1.3
lib/libpthread.so.0,glibc,8312,2490072,0.3,0.0
lib/libresolv.so.2,glibc,59384,2490072,2.4,0.2
lib/librt.so.1,glibc,5920,2490072,0.2,0.0
lib/libutil.so.1,glibc,5848,2490072,0.2,0.0
lib/libnss_files.so.2,glibc,5848,2490072,0.2,0.0
lib/libnss_dns.so.2,glibc,5848,2490072,0.2,0.0
lib/libmvec.so.1,glibc,22456,2490072,0.9,0.1
etc/network/if-pre-up.d/wait_iface,ifupdown-scripts,576,2040,28.2,0.0
etc/network/nfs_check,ifupdown-scripts,846,2040,41.5,0.0
etc/init.d/S40network,ifupdown-scripts,438,2040,21.5,0.0
etc/network/interfaces,ifupdown-scripts,180,2040,8.8,0.0
etc/init.d/rcK,initscripts,423,831,50.9,0.0
etc/init.d/rcS,initscripts,408,831,49.1,0.0
usr/lib/libkmod.so.2.4.1,kmod,100128,265984,37.6,0.3
usr/bin/kmod,kmod,165856,265984,62.4,0.4
etc/ssl/misc/tsget.pl,libopenssl,6742,6153670,0.1,0.0
etc/ssl/openssl.cnf.dist,libopenssl,12328,6153670,0.2,0.0
etc/ssl/openssl.cnf,libopenssl,12328,6153670,0.2,0.0
etc/ssl/ct_log_list.cnf.dist,libopenssl,412,6153670,0.0,0.0
etc/ssl/ct_log_list.cnf,libopenssl,412,6153670,0.0,0.0
usr/lib/libcrypto.so.3,libopenssl,4991184,6153670,81.1,12.6
usr/lib/libssl.so.3,libopenssl,942896,6153670,15.3,2.4
usr/lib/engines-3/capi.so,libopenssl,5688,6153670,0.1,0.0
usr/lib/ossl-modules/legacy.so,libopenssl,128720,6153670,2.1,0.3
usr/lib/engines-3/loader_attic.so,libopenssl,47272,6153670,0.8,0.1
usr/lib/engines-3/padlock.so,libopenssl,5688,6153670,0.1,0.0
usr/lib/libz.so.1.3.1,libzlib,83744,83744,100.0,0.2
lib/modules/6.1.61-v8/modules.order,linux,70334,21138710,0.3,0.2
lib/modules/6.1.61-v8/modules.builtin,linux,16762,21138710,0.1,0.0
lib/modules/6.1.61-v8/modules.builtin.modinfo,linux,95256,21138710,0.5,0.2
lib/modules/6.1.61-v8/kernel/arch/arm64/crypto/aes-arm64.ko.xz,linux,2176,21138710,0.0,0.0
lib/modules/6.1.61-v8/kernel/arch/arm64/crypto/aes-ce-blk.ko.xz,linux,7632,21138710,0.0,0.0
lib/modules/6.1.61-v8/kernel/arch/arm64/crypto/aes-ce-ccm.ko.xz,linux,3312,21138710,0.0,0.0
lib/modules/6.1.61-v8/kernel/arch/arm64/crypto/aes-ce-cipher.ko.xz,linux,2864,21138710,0.0,0.0
lib/modules/6.1.61-v8/kernel/arch/arm64/crypto/aes-neon-blk.ko.xz,linux,6608,21138710,0.0,0.0
lib/modules/6.1.61-v8/kernel/arch/arm64/crypto/aes-neon-bs.ko.xz,linux,5432,21138710,0.0,0.0
lib/modules/6.1.61-v8/kernel/arch/arm64/crypto/chacha-neon.ko.xz,linux,4860,21138710,0.0,0.0
lib/modules/6.1.61-v8/kernel/arch/arm64/crypto/ghash-ce.ko.xz,linux,5876,21138710,0.0,0.0
lib/modules/6.1.61-v8/kernel/arch/arm64/crypto/poly1305-neon.ko.xz,linux,4392,21138710,0.0,0.0
lib/modules/6.1.61-v8/kernel/arch/arm64/crypto/sha1-ce.ko.xz,linux,3504,21138710,0.0,0.0
lib/modules/6.1.61-v8/kernel/arch/arm64/crypto/sha2-ce.ko.xz,linux,4280,21138710,0.0,0.0
lib/modules/6.1.61-v8/kernel/arch/arm64/crypto/sha256-arm64.ko.xz,linux,6544,21138710,0.0,0.0
lib/modules/6.1.61-v8/kernel/arch/arm64/crypto/sha3-ce.ko.xz,linux,3216,21138710,0.0,0.0
lib/modules/6.1.61-v8/kernel/arch/arm64/crypto/sha512-arm64.ko.xz,linux,4916,21138710,0.0,0.0
lib/modules/6.1.61-v8/kernel/arch/arm64/crypto/sha512-ce.ko.xz,linux,4404,21138710,0.0,0.0
lib/modules/6.1.61-v8/kernel/arch/arm64/crypto/sm3-ce.ko.xz,linux,3132,21138710,0.0,0.0
lib/modules/6.1.61-v8/kernel/arch/arm64/crypto/sm4-ce-cipher.ko.xz,linux,2204,21138710,0.0,0.0
lib/modules/6.1.61-v8/kernel/arch/arm64/lib/xor-neon.ko.xz,linux,1820,21138710,0.0,0.0
lib/modules/6.1.61-v8/kernel/crypto/adiantum.ko.xz,linux,4280,21138710,0.0,0.0
lib/modules/6.1.61-v8/kernel/crypto/aes_generic.ko.xz,linux,9512,21138710,0.0,0.0
lib/modules/6.1.61-v8/kernel/crypto/af_alg.ko.xz,linux,8964,21138710,0.0,0.0
lib/modules/6.1.61-v8/kernel/crypto/algif_aead.ko.xz,linux,4532,21138710,0.0,0.0
lib/modules/6.1.61-v8/kernel/crypto/algif_hash.ko.xz,linux,4268,21138710,0.0,0.0
lib/modules/6.1.61-v8/kernel/crypto/algif_rng.ko.xz,linux,2476,21138710,0.0,0.0
lib/modules/6.1.61-v8/kernel/crypto/algif_skcipher.ko.xz,linux,3676,21138710,0.0,0.0
lib/modules/6.1.61-v8/kernel/crypto/async_tx/async_memcpy.ko.xz,linux,1840,21138710,0.0,0.0
lib/modules/6.1.61-v8/kernel/crypto/async_tx/async_pq.ko.xz,linux,4276,21138710,0.0,0.0
lib/modules/6.1.61-v8/kernel/crypto/async_tx/async_raid6_recov.ko.xz,linux,1676,21138710,0.0,0.0
lib/modules/6.1.61-v8/kernel/crypto/async_tx/async_tx.ko.xz,linux,2164,21138710,0.0,0.0
lib/modules/6.1.61-v8/kernel/crypto/async_tx/async_xor.ko.xz,linux,3468,21138710,0.0,0.0
lib/modules/6.1.61-v8/kernel/crypto/authenc.ko.xz,linux,3728,21138710,0.0,0.0
lib/modules/6.1.61-v8/kernel/crypto/authencesn.ko.xz,linux,4064,21138710,0.0,0.0
lib/modules/6.1.61-v8/kernel/crypto/blake2b_generic.ko.xz,linux,4544,21138710,0.0,0.0
lib/modules/6.1.61-v8/kernel/crypto/cast5_generic.ko.xz,linux,8296,21138710,0.0,0.0
lib/modules/6.1.61-v8/kernel/crypto/cast_common.ko.xz,linux,5180,21138710,0.0,0.0
lib/modules/6.1.61-v8/kernel/crypto/cbc.ko.xz,linux,2004,21138710,0.0,0.0
lib/modules/6.1.61-v8/kernel/crypto/ccm.ko.xz,linux,6028,21138710,0.0,0.0
lib/modules/6.1.61-v8/kernel/crypto/chacha20poly1305.ko.xz,linux,4132,21138710,0.0,0.0
lib/modules/6.1.61-v8/kernel/crypto/chacha_generic.ko.xz,linux,2152,21138710,0.0,0.0
lib/modules/6.1.61-v8/kernel/crypto/cmac.ko.xz,linux,2768,21138710,0.0,0.0
lib/modules/6.1.61-v8/kernel/crypto/cryptd.ko.xz,linux,6628,21138710,0.0,0.0
lib/modules/6.1.61-v8/kernel/crypto/crypto_user.ko.xz,linux,4392,21138710,0.0,0.0
lib/modules/6.1.61-v8/kernel/crypto/ctr.ko.xz,linux,3020,21138710,0.0,0.0
lib/modules/6.1.61-v8/kernel/crypto/drbg.ko.xz,linux,5360,21138710,0.0,0.0
lib/modules/6.1.61-v8/kernel/crypto/ecc.ko.xz,linux,11976,21138710,0.1,0.0
lib/modules/6.1.61-v8/kernel/crypto/ecdh_generic.ko.xz,linux,2740,21138710,0.0,0.0
lib/modules/6.1.61-v8/kernel/crypto/echainiv.ko.xz,linux,2120,21138710,0.0,0.0
lib/modules/6.1.61-v8/kernel/crypto/essiv.ko.xz,linux,4616,21138710,0.0,0.0
lib/modules/6.1.61-v8/kernel/crypto/gcm.ko.xz,linux,6520,21138710,0.0,0.0
lib/modules/6.1.61-v8/kernel/crypto/gf128mul.ko.xz,linux,4136,21138710,0.0,0.0
lib/modules/6.1.61-v8/kernel/crypto/ghash-generic.ko.xz,linux,1940,21138710,0.0,0.0
lib/modules/6.1.61-v8/kernel/crypto/hmac.ko.xz,linux,2904,21138710,0.0,0.0
lib/modules/6.1.61-v8/kernel/crypto/jitterentropy_rng.ko.xz,linux,3824,21138710,0.0,0.0
lib/modules/6.1.61-v8/kernel/crypto/lz4.ko.xz,linux,1760,21138710,0.0,0.0
lib/modules/6.1.61-v8/kernel/crypto/md4.ko.xz,linux,2568,21138710,0.0,0.0
lib/modules/6.1.61-v8/kernel/crypto/md5.ko.xz,linux,3776,21138710,0.0,0.0
lib/modules/6.1.61-v8/kernel/crypto/michael_mic.ko.xz,linux,1896,21138710,0.0,0.0
lib/modules/6.1.61-v8/kernel/crypto/nhpoly1305.ko.xz,linux,2956,21138710,0.0,0.0
lib/modules/6.1.61-v8/kernel/crypto/poly1305_generic.ko.xz,linux,1860,21138710,0.0,0.0
lib/modules/6.1.61-v8/kernel/crypto/seqiv.ko.xz,linux,2348,21138710,0.0,0.0
lib/modules/6.1.61-v8/kernel/crypto/sha3_generic.ko.xz,linux,3004,21138710,0.0,0.0
lib/modules/6.1.61-v8/kernel/crypto/sm3.ko.xz,linux,6724,21138710,0.0,0.0
lib/modules/6.1.61-v8/kernel/crypto/sm4.ko.xz,linux,2296,21138710,0.0,0.0
lib/modules/6.1.61-v8/kernel/crypto/twofish_common.ko.xz,linux,9200,21138710,0.0,0.0
lib/modules/6.1.61-v8/kernel/crypto/twofish_generic.ko.xz,linux,3500,21138710,0.0,0.0
lib/modules/6.1.61-v8/kernel/crypto/wp512.ko.xz,linux,7392,21138710,0.0,0.0
lib/modules/6.1.61-v8/kernel/crypto/xcbc.ko.xz,linux,2732,21138710,0.0,0.0
lib/modules/6.1.61-v8/kernel/crypto/xor.ko.xz,linux,3428,21138710,0.0,0.0
lib/modules/6.1.61-v8/kernel/crypto/xxhash_generic.ko.xz,linux,1596,21138710,0.0,0.0
lib/modules/6.1.61-v8/kernel/crypto/zstd.ko.xz,linux,2412,21138710,0.0,0.0
lib/modules/6.1.61-v8/kernel/drivers/accessibility/speakup/speakup.ko.xz,linux,37864,21138710,0.2,0.1
lib/modules/6.1.61-v8/kernel/drivers/accessibility/speakup/speakup_soft.ko.xz,linux,4564,21138710,0.0,0.0
lib/modules/6.1.61-v8/kernel/drivers/ata/ahci.ko.xz,linux,10920,21138710,0.1,0.0
lib/modules/6.1.61-v8/kernel/drivers/ata/libahci.ko.xz,linux,15596,21138710,0.1,0.0
lib/modules/6.1.61-v8/kernel/drivers/ata/libata.ko.xz,linux,101280,21138710,0.5,0.3
lib/modules/6.1.61-v8/kernel/drivers/ata/sata_mv.ko.xz,linux,17868,21138710,0.1,0.0
lib/modules/6.1.61-v8/kernel/drivers/auxdisplay/charlcd.ko.xz,linux,4372,21138710,0.0,0.0
